event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_eigenvalue_s,incidence_pykonal_s
69,waveforms/event_2015-01-23T03-02-52.902000Z.mseed,AXEC2,2015-01-23T03:02:52.902000Z,0.868,0.428,45.92886,-129.978394,1.218,197.217953374374,0.0,5.3154505876776135,0.9625875419312659,7.006981784399246,2.135636172168419,23.925463400170212
70,waveforms/event_2015-01-23T03-22-48.531000Z.mseed,AXEC2,2015-01-23T03:22:48.531000Z,1.489,0.789,45.958595,-129.990692,0.307,328.79848246574306,0.0,6.2843994732780715,0.7965321940389889,22.46358752638393,6.36939897218933,14.339491026607137
71,waveforms/event_2015-01-23T03-44-57.671000Z.mseed,AXEC2,2015-01-23T03:44:57.671000Z,1.619,0.929,45.941929,-130.016846,0.628,275.0169985378678,0.0,2.4809520314260736,0.9520402426549089,12.943901236694737,0.8296071439282109,16.559616710370527
73,waveforms/event_2015-01-23T03-46-08.738000Z.mseed,AXEC2,2015-01-23T03:46:08.738000Z,0.942,0.452,45.945107,-129.987854,0.143,299.714483256248,0.0,2.919901864141535,0.9419817573541764,6.8705019132993845,6.191636031792159,19.609781161308725
74,waveforms/event_2015-01-23T03-46-15.957000Z.mseed,AXEC2,2015-01-23T03:46:15.957000Z,1.573,0.863,45.942963,-130.014664,0.555,277.30335313427383,0.0,3.2854853900009706,0.9733762520114109,8.874365554666035,4.047579049890648,15.711909431016462
78,waveforms/event_2015-01-23T04-15-56.341000Z.mseed,AXEC2,2015-01-23T04:15:56.341000Z,1.319,0.659,45.950447,-129.996597,0.395,304.831584479336,0.0,10.03316295764845,0.9802874297816143,7.230664549136011,2.385009027621444,27.738582367631157
79,waveforms/event_2015-01-23T04-21-54.960000Z.mseed,AXEC2,2015-01-23T04:21:54.960000Z,1.0,0.52,45.948776,-129.978577,1.861,340.60031664440385,0.0,3.669787562359862,0.9579620133338045,10.95779817652422,3.566654496397316,11.762049420842702
81,waveforms/event_2015-01-23T04-23-16.683000Z.mseed,AXEC2,2015-01-23T04:23:16.683000Z,1.897,0.927,45.96096,-129.999252,0.078,320.8839825004758,0.0,2.8524965403235,0.705775496586283,83.41304512662964,12.866079021933453,14.495749441640292
82,waveforms/event_2015-01-23T04-24-29.309000Z.mseed,AXEC2,2015-01-23T04:24:29.309000Z,0.771,-0.239,45.937496,-129.982758,1.314,251.52318139364937,0.0,5.8959037894621105,0.7133684172653147,80.0797553910241,4.146342534282594,17.176786169465903
83,waveforms/event_2015-01-23T04-45-35.793000Z.mseed,AXEC2,2015-01-23T04:45:35.793000Z,1.217,1.197,45.934212,-129.994232,0.305,249.7571176079966,0.0,4.327982341665104,0.8475281195630259,75.5633264190753,14.719532320402909,18.15325583306218
